,date,totalRequests,successfulRequests,failedRequests
0,2021-01-01,755,731,24
1,2021-01-02,2472,2444,28
2,2021-01-03,4245,4123,122
3,2021-01-04,2077,2059,18
4,2021-01-05,3891,3778,113
5,2021-01-06,3492,3406,86
6,2021-01-07,1132,1130,2
7,2021-01-08,709,680,29
8,2021-01-09,4240,4215,25
9,2021-01-10,3189,3147,42
10,2021-01-11,2866,2830,36
11,2021-01-12,3414,3275,139
12,2021-01-13,3809,3806,3
13,2021-01-14,208,200,8
14,2021-01-15,709,706,3
15,2021-01-16,3808,3690,118
16,2021-01-17,586,571,15
17,2021-01-18,2855,2741,114
18,2021-01-19,928,921,7
19,2021-01-20,3662,3642,20
20,2021-01-21,1419,1399,20
21,2021-01-22,2014,1974,40
22,2021-01-23,23,22,1
23,2021-01-24,4370,4302,68
24,2021-01-25,1182,1146,36
25,2021-01-26,3524,3421,103
26,2021-01-27,4695,4675,20
27,2021-01-28,2044,1978,66
28,2021-01-29,1517,1482,35
29,2021-01-30,3356,3310,46
30,2021-01-31,627,610,17
31,2021-02-01,2889,2785,104
32,2021-02-02,2934,2910,24
33,2021-02-03,1603,1550,53
34,2021-02-04,2003,1984,19
35,2021-02-05,4802,4757,45
36,2021-02-06,1806,1768,38
37,2021-02-07,358,343,15
38,2021-02-08,12,12,0
39,2021-02-09,2424,2376,48
40,2021-02-10,58,57,1
41,2021-02-11,3535,3455,80
42,2021-02-12,4139,3965,174
43,2021-02-13,1447,1392,55
44,2021-02-14,2034,1951,83
45,2021-02-15,2321,2217,104
46,2021-02-16,1298,1258,40
47,2021-02-17,4113,3970,143
48,2021-02-18,1240,1184,56
49,2021-02-19,3358,3235,123
50,2021-02-20,3082,3030,52
51,2021-02-21,4857,4840,17
52,2021-02-22,3109,2983,126
53,2021-02-23,1284,1225,59
54,2021-02-24,3935,3741,194
55,2021-02-25,4795,4578,217
56,2021-02-26,3748,3636,112
57,2021-02-27,2852,2799,53
58,2021-02-28,1792,1768,24
59,2021-03-01,2047,2035,12
60,2021-03-02,2711,2588,123
61,2021-03-03,4044,3953,91
62,2021-03-04,3683,3513,170
63,2021-03-05,3613,3452,161
64,2021-03-06,3168,3168,0
65,2021-03-07,1087,1075,12
66,2021-03-08,2502,2452,50
67,2021-03-09,735,709,26
68,2021-03-10,4123,4110,13
69,2021-03-11,4393,4236,157
70,2021-03-12,4820,4784,36
71,2021-03-13,1279,1248,31
72,2021-03-14,4720,4613,107
73,2021-03-15,4189,4085,104
74,2021-03-16,766,761,5
75,2021-03-17,3593,3534,59
76,2021-03-18,4068,4020,48
77,2021-03-19,1481,1432,49
78,2021-03-20,3734,3618,116
79,2021-03-21,3124,3004,120
80,2021-03-22,3180,3153,27
81,2021-03-23,2121,2086,35
82,2021-03-24,3501,3342,159
83,2021-03-25,841,810,31
84,2021-03-26,880,846,34
85,2021-03-27,4418,4358,60
86,2021-03-28,3391,3386,5
87,2021-03-29,638,612,26
88,2021-03-30,1130,1077,53
89,2021-03-31,2592,2551,41
90,2021-04-01,1659,1593,66
91,2021-04-02,2559,2515,44
92,2021-04-03,3413,3337,76
93,2021-04-04,2623,2592,31
94,2021-04-05,3975,3826,149
95,2021-04-06,4616,4600,16
96,2021-04-07,3486,3461,25
97,2021-04-08,4818,4667,151
98,2021-04-09,1780,1714,66
99,2021-04-10,4207,4097,110
100,2021-04-11,3408,3353,55
101,2021-04-12,2403,2340,63
102,2021-04-13,1517,1501,16
103,2021-04-14,2806,2778,28
104,2021-04-15,3797,3778,19
105,2021-04-16,1325,1265,60
106,2021-04-17,1546,1532,14
107,2021-04-18,4078,3995,83
108,2021-04-19,4463,4332,131
109,2021-04-20,42,41,1
110,2021-04-21,1279,1242,37
111,2021-04-22,662,639,23
112,2021-04-23,1601,1571,30
113,2021-04-24,3182,3096,86
114,2021-04-25,1195,1141,54
115,2021-04-26,2002,1993,9
116,2021-04-27,2037,1943,94
117,2021-04-28,4630,4580,50
118,2021-04-29,2367,2297,70
119,2021-04-30,4938,4825,113
120,2021-05-01,2561,2458,103
121,2021-05-02,3372,3309,63
122,2021-05-03,112,108,4
123,2021-05-04,3938,3816,122
124,2021-05-05,3064,3011,53
125,2021-05-06,4331,4126,205
126,2021-05-07,3390,3253,137
127,2021-05-08,3859,3715,144
128,2021-05-09,3300,3268,32
129,2021-05-10,3310,3260,50
130,2021-05-11,1869,1804,65
131,2021-05-12,1936,1890,46
132,2021-05-13,377,373,4
133,2021-05-14,1582,1508,74
134,2021-05-15,4818,4816,2
135,2021-05-16,2494,2389,105
136,2021-05-17,573,549,24
137,2021-05-18,1627,1621,6
138,2021-05-19,3955,3767,188
139,2021-05-20,2573,2475,98
140,2021-05-21,3502,3345,157
141,2021-05-22,1813,1766,47
142,2021-05-23,4885,4676,209
143,2021-05-24,29,29,0
144,2021-05-25,1146,1139,7
145,2021-05-26,3919,3812,107
146,2021-05-27,3616,3607,9
147,2021-05-28,2993,2921,72
148,2021-05-29,501,477,24
149,2021-05-30,2515,2500,15
150,2021-05-31,2935,2899,36
151,2021-06-01,523,509,14
152,2021-06-02,3273,3190,83
153,2021-06-03,3175,3095,80
154,2021-06-04,4549,4527,22
155,2021-06-05,3068,2941,127
156,2021-06-06,168,163,5
157,2021-06-07,1603,1598,5
158,2021-06-08,1294,1258,36
159,2021-06-09,3675,3633,42
160,2021-06-10,1840,1832,8
161,2021-06-11,2032,1932,100
162,2021-06-12,3608,3510,98
163,2021-06-13,3621,3604,17
164,2021-06-14,3656,3554,102
165,2021-06-15,117,116,1
166,2021-06-16,4828,4602,226
167,2021-06-17,5,5,0
168,2021-06-18,2270,2198,72
169,2021-06-19,491,487,4
170,2021-06-20,4653,4483,170
171,2021-06-21,844,807,37
172,2021-06-22,804,794,10
173,2021-06-23,4387,4310,77
174,2021-06-24,1006,966,40
175,2021-06-25,871,870,1
176,2021-06-26,3271,3164,107
177,2021-06-27,2951,2901,50
178,2021-06-28,4986,4862,124
179,2021-06-29,233,223,10
180,2021-06-30,1365,1322,43
181,2021-07-01,1849,1830,19
182,2021-07-02,2213,2198,15
183,2021-07-03,4486,4329,157
184,2021-07-04,4498,4482,16
185,2021-07-05,4427,4311,116
186,2021-07-06,3599,3532,67
187,2021-07-07,2599,2559,40
188,2021-07-08,2047,1967,80
189,2021-07-09,467,451,16
190,2021-07-10,2564,2535,29
191,2021-07-11,2126,2033,93
192,2021-07-12,206,200,6
193,2021-07-13,134,128,6
194,2021-07-14,2984,2883,101
195,2021-07-15,1081,1079,2
196,2021-07-16,674,664,10
197,2021-07-17,3854,3667,187
198,2021-07-18,3234,3082,152
199,2021-07-19,3298,3244,54
200,2021-07-20,224,224,0
201,2021-07-21,2135,2033,102
202,2021-07-22,4825,4753,72
203,2021-07-23,3173,3029,144
204,2021-07-24,833,813,20
205,2021-07-25,4130,4073,57
206,2021-07-26,733,722,11
207,2021-07-27,4941,4925,16
208,2021-07-28,4469,4367,102
209,2021-07-29,1046,1002,44
210,2021-07-30,291,284,7
211,2021-07-31,612,589,23
212,2021-08-01,4966,4858,108
213,2021-08-02,1675,1616,59
214,2021-08-03,3821,3726,95
215,2021-08-04,2088,2011,77
216,2021-08-05,3590,3585,5
217,2021-08-06,2846,2806,40
218,2021-08-07,685,679,6
219,2021-08-08,566,554,12
220,2021-08-09,72,72,0
221,2021-08-10,2665,2600,65
222,2021-08-11,4866,4823,43
223,2021-08-12,3249,3151,98
224,2021-08-13,440,429,11
225,2021-08-14,1362,1313,49
226,2021-08-15,3931,3761,170
227,2021-08-16,4864,4731,133
228,2021-08-17,4364,4301,63
229,2021-08-18,3279,3125,154
230,2021-08-19,776,763,13
231,2021-08-20,92,90,2
232,2021-08-21,1924,1877,47
233,2021-08-22,192,185,7
234,2021-08-23,2174,2127,47
235,2021-08-24,3565,3397,168
236,2021-08-25,315,305,10
237,2021-08-26,2015,1956,59
238,2021-08-27,4260,4115,145
239,2021-08-28,560,556,4
240,2021-08-29,2343,2303,40
241,2021-08-30,1611,1568,43
242,2021-08-31,2056,2037,19
243,2021-09-01,2289,2232,57
244,2021-09-02,4298,4249,49
245,2021-09-03,4366,4184,182
246,2021-09-04,2351,2290,61
247,2021-09-05,3759,3590,169
248,2021-09-06,3924,3869,55
249,2021-09-07,4231,4223,8
250,2021-09-08,3279,3151,128
251,2021-09-09,1726,1683,43
252,2021-09-10,422,410,12
253,2021-09-11,2110,2110,0
254,2021-09-12,2707,2693,14
255,2021-09-13,394,384,10
256,2021-09-14,2517,2402,115
257,2021-09-15,1163,1130,33
258,2021-09-16,77,77,0
259,2021-09-17,2605,2582,23
260,2021-09-18,4323,4150,173
261,2021-09-19,2947,2805,142
262,2021-09-20,2096,2047,49
263,2021-09-21,2622,2520,102
264,2021-09-22,1350,1299,51
265,2021-09-23,2935,2887,48
266,2021-09-24,1046,1021,25
267,2021-09-25,435,417,18
268,2021-09-26,1582,1544,38
269,2021-09-27,3678,3606,72
270,2021-09-28,4646,4623,23
271,2021-09-29,2842,2718,124
272,2021-09-30,2469,2437,32
273,2021-10-01,2226,2182,44
274,2021-10-02,898,884,14
275,2021-10-03,1689,1653,36
276,2021-10-04,1350,1348,2
277,2021-10-05,523,519,4
278,2021-10-06,1328,1304,24
279,2021-10-07,1408,1367,41
280,2021-10-08,921,908,13
281,2021-10-09,2790,2713,77
282,2021-10-10,4163,4022,141
283,2021-10-11,3454,3431,23
284,2021-10-12,4666,4572,94
285,2021-10-13,4265,4075,190
286,2021-10-14,956,911,45
287,2021-10-15,827,812,15
288,2021-10-16,1830,1793,37
289,2021-10-17,615,585,30
290,2021-10-18,3166,3080,86
291,2021-10-19,3294,3224,70
292,2021-10-20,4134,3954,180
293,2021-10-21,2237,2202,35
294,2021-10-22,4185,4154,31
295,2021-10-23,202,199,3
296,2021-10-24,1433,1426,7
297,2021-10-25,3004,2951,53
298,2021-10-26,1318,1295,23
299,2021-10-27,1253,1200,53
300,2021-10-28,813,784,29
301,2021-10-29,1522,1465,57
302,2021-10-30,1221,1175,46
303,2021-10-31,4236,4173,63
304,2021-11-01,1997,1898,99
305,2021-11-02,4013,3868,145
306,2021-11-03,4309,4254,55
307,2021-11-04,3555,3403,152
308,2021-11-05,90,88,2
309,2021-11-06,4719,4567,152
310,2021-11-07,288,284,4
311,2021-11-08,1698,1623,75
312,2021-11-09,3883,3712,171
313,2021-11-10,1662,1653,9
314,2021-11-11,939,919,20
315,2021-11-12,4115,4010,105
316,2021-11-13,1997,1974,23
317,2021-11-14,732,715,17
318,2021-11-15,1233,1227,6
319,2021-11-16,2192,2153,39
320,2021-11-17,879,864,15
321,2021-11-18,1853,1798,55
322,2021-11-19,3526,3406,120
323,2021-11-20,1215,1175,40
324,2021-11-21,1059,1041,18
325,2021-11-22,2238,2139,99
326,2021-11-23,2711,2655,56
327,2021-11-24,3150,3082,68
328,2021-11-25,993,986,7
329,2021-11-26,1466,1461,5
330,2021-11-27,1344,1288,56
331,2021-11-28,3395,3272,123
332,2021-11-29,959,936,23
333,2021-11-30,4742,4557,185
334,2021-12-01,3100,2980,120
335,2021-12-02,109,106,3
336,2021-12-03,2120,2041,79
337,2021-12-04,1872,1782,90
338,2021-12-05,796,777,19
339,2021-12-06,1910,1831,79
340,2021-12-07,1767,1700,67
341,2021-12-08,1220,1219,1
342,2021-12-09,2062,2013,49
343,2021-12-10,2812,2797,15
344,2021-12-11,2358,2317,41
345,2021-12-12,2874,2866,8
346,2021-12-13,972,954,18
347,2021-12-14,2010,1948,62
348,2021-12-15,1266,1216,50
349,2021-12-16,2686,2555,131
350,2021-12-17,2282,2169,113
351,2021-12-18,652,650,2
352,2021-12-19,834,814,20
353,2021-12-20,2614,2543,71
354,2021-12-21,3019,2965,54
355,2021-12-22,2847,2739,108
356,2021-12-23,4029,3931,98
357,2021-12-24,1091,1050,41
358,2021-12-25,2312,2279,33
359,2021-12-26,153,149,4
360,2021-12-27,4716,4696,20
361,2021-12-28,2354,2354,0
362,2021-12-29,1113,1110,3
363,2021-12-30,2119,2033,86
364,2021-12-31,2744,2722,22
365,2022-01-01,1571,1527,44
366,2022-01-02,3790,3642,148
367,2022-01-03,3887,3781,106
368,2022-01-04,4422,4331,91
369,2022-01-05,3134,3117,17
370,2022-01-06,599,593,6
371,2022-01-07,4289,4082,207
372,2022-01-08,1761,1683,78
373,2022-01-09,1106,1103,3
374,2022-01-10,1733,1664,69
375,2022-01-11,4442,4235,207
376,2022-01-12,1474,1427,47
377,2022-01-13,1021,1021,0
378,2022-01-14,2884,2832,52
379,2022-01-15,1135,1094,41
380,2022-01-16,1866,1811,55
381,2022-01-17,1573,1506,67
382,2022-01-18,3025,2887,138
383,2022-01-19,3484,3396,88
384,2022-01-20,3698,3599,99
385,2022-01-21,1974,1948,26
386,2022-01-22,2907,2782,125
387,2022-01-23,3383,3313,70
388,2022-01-24,2197,2192,5
389,2022-01-25,1825,1779,46
390,2022-01-26,1407,1361,46
391,2022-01-27,78,75,3
392,2022-01-28,1587,1532,55
393,2022-01-29,4599,4419,180
394,2022-01-30,3101,3053,48
395,2022-01-31,3620,3532,88
396,2022-02-01,1326,1325,1
397,2022-02-02,157,151,6
398,2022-02-03,1322,1270,52
399,2022-02-04,4548,4475,73
400,2022-02-05,2498,2470,28
401,2022-02-06,1537,1480,57
402,2022-02-07,3889,3708,181
403,2022-02-08,996,972,24
404,2022-02-09,2740,2667,73
405,2022-02-10,129,128,1
406,2022-02-11,2302,2237,65
407,2022-02-12,254,250,4
408,2022-02-13,1808,1742,66
409,2022-02-14,2951,2805,146
410,2022-02-15,4949,4806,143
411,2022-02-16,3434,3285,149
412,2022-02-17,945,930,15
413,2022-02-18,2130,2081,49
414,2022-02-19,2434,2407,27
415,2022-02-20,1858,1839,19
416,2022-02-21,674,673,1
417,2022-02-22,4937,4732,205
418,2022-02-23,1407,1364,43
419,2022-02-24,1782,1773,9
420,2022-02-25,3460,3329,131
421,2022-02-26,4851,4726,125
422,2022-02-27,1546,1514,32
423,2022-02-28,3595,3560,35
424,2022-03-01,306,295,11
425,2022-03-02,3628,3594,34
426,2022-03-03,1162,1147,15
427,2022-03-04,2550,2452,98
428,2022-03-05,200,197,3
429,2022-03-06,3180,3146,34
430,2022-03-07,3301,3202,99
431,2022-03-08,3733,3648,85
432,2022-03-09,3138,3019,119
433,2022-03-10,674,659,15
434,2022-03-11,411,405,6
435,2022-03-12,554,532,22
436,2022-03-13,423,409,14
437,2022-03-14,531,521,10
438,2022-03-15,3106,2976,130
439,2022-03-16,346,337,9
440,2022-03-17,4760,4629,131
441,2022-03-18,2065,2057,8
442,2022-03-19,2146,2081,65
443,2022-03-20,1480,1476,4
444,2022-03-21,827,816,11
445,2022-03-22,335,330,5
446,2022-03-23,1259,1209,50
447,2022-03-24,1151,1139,12
448,2022-03-25,4290,4281,9
449,2022-03-26,3884,3751,133
450,2022-03-27,1123,1120,3
451,2022-03-28,638,613,25
452,2022-03-29,4326,4138,188
453,2022-03-30,1855,1831,24
454,2022-03-31,3612,3488,124
455,2022-04-01,3843,3765,78
456,2022-04-02,4906,4885,21
457,2022-04-03,3390,3317,73
458,2022-04-04,506,482,24
459,2022-04-05,853,837,16
460,2022-04-06,2308,2206,102
461,2022-04-07,2186,2095,91
462,2022-04-08,3094,2987,107
463,2022-04-09,4996,4931,65
464,2022-04-10,4848,4833,15
465,2022-04-11,285,285,0
466,2022-04-12,2844,2772,72
467,2022-04-13,110,108,2
468,2022-04-14,1974,1929,45
469,2022-04-15,4069,3900,169
470,2022-04-16,2502,2396,106
471,2022-04-17,2433,2332,101
472,2022-04-18,4170,4089,81
473,2022-04-19,1718,1687,31
474,2022-04-20,329,318,11
475,2022-04-21,233,228,5
476,2022-04-22,3015,2874,141
477,2022-04-23,3429,3340,89
478,2022-04-24,3373,3242,131
479,2022-04-25,449,445,4
480,2022-04-26,1522,1517,5
481,2022-04-27,4759,4665,94
482,2022-04-28,4946,4769,177
483,2022-04-29,446,430,16
484,2022-04-30,195,192,3
485,2022-05-01,4547,4422,125
486,2022-05-02,1750,1711,39
487,2022-05-03,877,860,17
488,2022-05-04,1731,1695,36
489,2022-05-05,3170,3161,9
490,2022-05-06,3306,3193,113
491,2022-05-07,1905,1821,84
492,2022-05-08,4183,4038,145
493,2022-05-09,2680,2655,25
494,2022-05-10,955,952,3
495,2022-05-11,4922,4744,178
496,2022-05-12,4707,4643,64
497,2022-05-13,3552,3504,48
498,2022-05-14,2450,2348,102
499,2022-05-15,3249,3133,116
500,2022-05-16,3880,3842,38
501,2022-05-17,3533,3420,113
502,2022-05-18,3175,3123,52
503,2022-05-19,4792,4659,133
504,2022-05-20,3598,3469,129
505,2022-05-21,2998,2987,11
506,2022-05-22,4143,4130,13
507,2022-05-23,2189,2178,11
508,2022-05-24,4313,4220,93
509,2022-05-25,177,177,0
510,2022-05-26,4339,4218,121
511,2022-05-27,3875,3842,33
512,2022-05-28,2536,2435,101
513,2022-05-29,2587,2499,88
514,2022-05-30,4407,4339,68
515,2022-05-31,4136,4036,100
516,2022-06-01,2377,2263,114
517,2022-06-02,3047,2968,79
518,2022-06-03,803,785,18
519,2022-06-04,2846,2735,111
520,2022-06-05,584,577,7
521,2022-06-06,4517,4489,28
522,2022-06-07,2067,2043,24
523,2022-06-08,3390,3306,84
524,2022-06-09,3796,3726,70
525,2022-06-10,3085,2934,151
526,2022-06-11,4596,4445,151
527,2022-06-12,2446,2347,99
528,2022-06-13,4939,4772,167
529,2022-06-14,1133,1095,38
530,2022-06-15,2623,2530,93
531,2022-06-16,288,278,10
532,2022-06-17,3733,3676,57
533,2022-06-18,3096,3080,16
534,2022-06-19,1655,1643,12
535,2022-06-20,4229,4030,199
536,2022-06-21,3573,3414,159
537,2022-06-22,3749,3741,8
538,2022-06-23,753,721,32
539,2022-06-24,1630,1592,38
540,2022-06-25,956,952,4
541,2022-06-26,1857,1845,12
542,2022-06-27,1129,1104,25
543,2022-06-28,4869,4629,240
544,2022-06-29,4648,4552,96
545,2022-06-30,3937,3799,138
546,2022-07-01,3787,3612,175
547,2022-07-02,2414,2377,37
548,2022-07-03,3555,3436,119
549,2022-07-04,4281,4187,94
550,2022-07-05,2894,2771,123
551,2022-07-06,2778,2737,41
552,2022-07-07,2665,2558,107
553,2022-07-08,502,496,6
554,2022-07-09,2431,2327,104
555,2022-07-10,3678,3544,134
556,2022-07-11,4016,3947,69
557,2022-07-12,4675,4538,137
558,2022-07-13,2419,2384,35
559,2022-07-14,133,133,0
560,2022-07-15,2148,2094,54
561,2022-07-16,3316,3186,130
562,2022-07-17,179,172,7
563,2022-07-18,1362,1317,45
564,2022-07-19,312,310,2
565,2022-07-20,1321,1309,12
566,2022-07-21,1149,1106,43
567,2022-07-22,1878,1855,23
568,2022-07-23,4461,4389,72
569,2022-07-24,150,150,0
570,2022-07-25,4395,4270,125
571,2022-07-26,825,816,9
572,2022-07-27,4343,4266,77
573,2022-07-28,3064,3015,49
574,2022-07-29,4395,4352,43
575,2022-07-30,3939,3785,154
576,2022-07-31,2720,2620,100
577,2022-08-01,4069,3970,99
578,2022-08-02,2405,2388,17
579,2022-08-03,1110,1058,52
580,2022-08-04,2470,2432,38
581,2022-08-05,3540,3490,50
582,2022-08-06,52,51,1
583,2022-08-07,4465,4333,132
584,2022-08-08,4191,4172,19
585,2022-08-09,2113,2019,94
586,2022-08-10,1922,1863,59
587,2022-08-11,3835,3684,151
588,2022-08-12,52,50,2
589,2022-08-13,2789,2692,97
590,2022-08-14,277,275,2
591,2022-08-15,2833,2751,82
592,2022-08-16,4315,4174,141
593,2022-08-17,2306,2271,35
594,2022-08-18,1061,1015,46
595,2022-08-19,4355,4296,59
596,2022-08-20,1885,1875,10
597,2022-08-21,606,596,10
598,2022-08-22,4037,3969,68
599,2022-08-23,4242,4184,58
600,2022-08-24,455,435,20
601,2022-08-25,4913,4871,42
602,2022-08-26,2821,2745,76
603,2022-08-27,4811,4798,13
604,2022-08-28,2881,2804,77
605,2022-08-29,1439,1428,11
606,2022-08-30,489,466,23
607,2022-08-31,372,360,12
608,2022-09-01,51,51,0
609,2022-09-02,4889,4833,56
610,2022-09-03,1498,1465,33
611,2022-09-04,3028,2932,96
612,2022-09-05,3496,3330,166
613,2022-09-06,2108,2067,41
614,2022-09-07,3921,3852,69
615,2022-09-08,4011,3931,80
616,2022-09-09,3452,3317,135
617,2022-09-10,2538,2488,50
618,2022-09-11,3100,3064,36
619,2022-09-12,1265,1247,18
620,2022-09-13,4908,4713,195
621,2022-09-14,4547,4522,25
622,2022-09-15,4716,4587,129
623,2022-09-16,2347,2310,37
624,2022-09-17,3922,3828,94
625,2022-09-18,206,202,4
626,2022-09-19,2267,2223,44
627,2022-09-20,2433,2348,85
628,2022-09-21,3342,3299,43
629,2022-09-22,4840,4755,85
630,2022-09-23,3629,3580,49
631,2022-09-24,1754,1741,13
632,2022-09-25,2906,2889,17
633,2022-09-26,901,867,34
634,2022-09-27,3819,3786,33
635,2022-09-28,946,902,44
636,2022-09-29,1500,1474,26
637,2022-09-30,3301,3272,29
638,2022-10-01,1228,1189,39
639,2022-10-02,2130,2058,72
640,2022-10-03,2976,2864,112
641,2022-10-04,364,350,14
642,2022-10-05,2122,2047,75
643,2022-10-06,2533,2437,96
644,2022-10-07,587,565,22
645,2022-10-08,1279,1240,39
646,2022-10-09,718,688,30
647,2022-10-10,4102,3939,163
648,2022-10-11,3423,3288,135
649,2022-10-12,2476,2370,106
650,2022-10-13,586,564,22
651,2022-10-14,3176,3079,97
652,2022-10-15,1656,1575,81
653,2022-10-16,4395,4390,5
654,2022-10-17,685,676,9
655,2022-10-18,1169,1129,40
656,2022-10-19,1064,1019,45
657,2022-10-20,1081,1077,4
658,2022-10-21,1223,1213,10
659,2022-10-22,1145,1107,38
660,2022-10-23,3769,3668,101
661,2022-10-24,3838,3791,47
662,2022-10-25,191,185,6
663,2022-10-26,4784,4779,5
664,2022-10-27,2106,2079,27
665,2022-10-28,1997,1926,71
666,2022-10-29,4246,4132,114
667,2022-10-30,4684,4529,155
668,2022-10-31,4595,4487,108
669,2022-11-01,163,161,2
670,2022-11-02,1001,964,37
671,2022-11-03,3307,3243,64
672,2022-11-04,2833,2833,0
673,2022-11-05,266,256,10
674,2022-11-06,2236,2224,12
675,2022-11-07,2535,2420,115
676,2022-11-08,2428,2390,38
677,2022-11-09,2996,2861,135
678,2022-11-10,4334,4205,129
679,2022-11-11,4968,4780,188
680,2022-11-12,4231,4184,47
681,2022-11-13,4178,4072,106
682,2022-11-14,1806,1723,83
683,2022-11-15,3785,3642,143
684,2022-11-16,328,323,5
685,2022-11-17,4958,4733,225
686,2022-11-18,3513,3452,61
687,2022-11-19,3518,3409,109
688,2022-11-20,4514,4431,83
689,2022-11-21,1842,1771,71
690,2022-11-22,2638,2541,97
691,2022-11-23,374,362,12
692,2022-11-24,513,489,24
693,2022-11-25,2992,2912,80
694,2022-11-26,2213,2174,39
695,2022-11-27,1322,1297,25
696,2022-11-28,2291,2259,32
697,2022-11-29,773,755,18
698,2022-11-30,3933,3854,79
699,2022-12-01,2466,2443,23
700,2022-12-02,901,878,23
701,2022-12-03,3784,3596,188
702,2022-12-04,678,673,5
703,2022-12-05,3293,3177,116
704,2022-12-06,1667,1586,81
705,2022-12-07,2149,2091,58
706,2022-12-08,4965,4724,241
707,2022-12-09,4963,4884,79
708,2022-12-10,4785,4600,185
709,2022-12-11,4490,4287,203
710,2022-12-12,2463,2429,34
711,2022-12-13,2011,2009,2
712,2022-12-14,4663,4547,116
713,2022-12-15,3026,2943,83
714,2022-12-16,4200,4036,164
715,2022-12-17,1853,1824,29
716,2022-12-18,1360,1305,55
717,2022-12-19,83,81,2
718,2022-12-20,1359,1322,37
719,2022-12-21,2946,2826,120
720,2022-12-22,1991,1959,32
721,2022-12-23,2132,2056,76
722,2022-12-24,2886,2787,99
723,2022-12-25,3339,3250,89
724,2022-12-26,130,128,2
725,2022-12-27,70,70,0
726,2022-12-28,3886,3702,184
727,2022-12-29,588,575,13
728,2022-12-30,1604,1529,75
729,2022-12-31,3080,2943,137
730,2023-01-01,1047,1009,38
