,date,total,successful,failed
0,2021-01-01,28369,26189,2180
1,2021-01-02,10688,10659,29
2,2021-01-03,3131,3100,31
3,2021-01-04,37253,33826,3427
4,2021-01-05,26527,25547,980
5,2021-01-06,43814,42315,1499
6,2021-01-07,48310,46715,1595
7,2021-01-08,43570,40587,2983
8,2021-01-09,13784,12791,993
9,2021-01-10,9040,8874,166
10,2021-01-11,27780,25600,2180
11,2021-01-12,36639,35308,1331
12,2021-01-13,43906,40030,3876
13,2021-01-14,29765,27269,2496
14,2021-01-15,31220,28636,2584
15,2021-01-16,1297,1234,63
16,2021-01-17,27385,24751,2634
17,2021-01-18,930,862,68
18,2021-01-19,16768,15772,996
19,2021-01-20,48194,46338,1856
20,2021-01-21,41446,40160,1286
21,2021-01-22,659,629,30
22,2021-01-23,40467,38968,1499
23,2021-01-24,15873,14894,979
24,2021-01-25,45446,45102,344
25,2021-01-26,43283,41955,1328
26,2021-01-27,38297,35539,2758
27,2021-01-28,29420,28221,1199
28,2021-01-29,45566,42433,3133
29,2021-01-30,49043,46064,2979
30,2021-01-31,14243,13145,1098
31,2021-02-01,27229,25874,1355
32,2021-02-02,12538,12285,253
33,2021-02-03,7863,7598,265
34,2021-02-04,29401,27773,1628
35,2021-02-05,28938,26915,2023
36,2021-02-06,36830,35551,1279
37,2021-02-07,16650,16080,570
38,2021-02-08,36053,34296,1757
39,2021-02-09,9502,8596,906
40,2021-02-10,39350,37637,1713
41,2021-02-11,21297,20124,1173
42,2021-02-12,35130,32324,2806
43,2021-02-13,15763,14892,871
44,2021-02-14,32587,30110,2477
45,2021-02-15,5495,5217,278
46,2021-02-16,43150,39422,3728
47,2021-02-17,7134,7018,116
48,2021-02-18,41424,37831,3593
49,2021-02-19,26892,25803,1089
50,2021-02-20,19952,19438,514
51,2021-02-21,30351,29133,1218
52,2021-02-22,23212,22711,501
53,2021-02-23,38037,36179,1858
54,2021-02-24,41916,38863,3053
55,2021-02-25,22083,20737,1346
56,2021-02-26,26718,25433,1285
57,2021-02-27,3715,3423,292
58,2021-02-28,2754,2657,97
59,2021-03-01,32259,29521,2738
60,2021-03-02,23231,21627,1604
61,2021-03-03,32982,32543,439
62,2021-03-04,45055,43340,1715
63,2021-03-05,15680,15049,631
64,2021-03-06,20373,20080,293
65,2021-03-07,1159,1089,70
66,2021-03-08,27713,25605,2108
67,2021-03-09,38819,35924,2895
68,2021-03-10,13384,12189,1195
69,2021-03-11,25783,23278,2505
70,2021-03-12,22629,21777,852
71,2021-03-13,30071,28167,1904
72,2021-03-14,31870,28821,3049
73,2021-03-15,29978,27304,2674
74,2021-03-16,32356,30737,1619
75,2021-03-17,48233,47149,1084
76,2021-03-18,36257,34520,1737
77,2021-03-19,35673,32268,3405
78,2021-03-20,43503,41615,1888
79,2021-03-21,35235,33578,1657
80,2021-03-22,34804,34193,611
81,2021-03-23,33290,29967,3323
82,2021-03-24,39784,36439,3345
83,2021-03-25,35604,34703,901
84,2021-03-26,17854,16829,1025
85,2021-03-27,46800,44844,1956
86,2021-03-28,30352,29918,434
87,2021-03-29,4403,4119,284
88,2021-03-30,9916,9145,771
89,2021-03-31,22390,21983,407
90,2021-04-01,27693,25518,2175
91,2021-04-02,41508,38143,3365
92,2021-04-03,23214,21738,1476
93,2021-04-04,21859,20813,1046
94,2021-04-05,23438,23245,193
95,2021-04-06,20569,20294,275
96,2021-04-07,34824,32459,2365
97,2021-04-08,33554,33323,231
98,2021-04-09,47976,43246,4730
99,2021-04-10,32851,32337,514
100,2021-04-11,20223,19055,1168
101,2021-04-12,20253,18403,1850
102,2021-04-13,19478,17556,1922
103,2021-04-14,19520,19187,333
104,2021-04-15,35733,33493,2240
105,2021-04-16,49592,44799,4793
106,2021-04-17,37465,34840,2625
107,2021-04-18,14302,14181,121
108,2021-04-19,20310,20089,221
109,2021-04-20,16923,16849,74
110,2021-04-21,45506,44928,578
111,2021-04-22,43606,43182,424
112,2021-04-23,39256,36995,2261
113,2021-04-24,3125,3036,89
114,2021-04-25,38837,35874,2963
115,2021-04-26,47853,44677,3176
116,2021-04-27,4163,4107,56
117,2021-04-28,12696,11686,1010
118,2021-04-29,23149,22867,282
119,2021-04-30,31661,30345,1316
120,2021-05-01,43727,43278,449
121,2021-05-02,6034,5613,421
122,2021-05-03,4760,4343,417
123,2021-05-04,45206,42462,2744
124,2021-05-05,17523,16721,802
125,2021-05-06,2140,2038,102
126,2021-05-07,12480,12372,108
127,2021-05-08,2245,2234,11
128,2021-05-09,22082,21684,398
129,2021-05-10,21146,20510,636
130,2021-05-11,30489,28692,1797
131,2021-05-12,42703,42333,370
132,2021-05-13,40306,36689,3617
133,2021-05-14,13275,13105,170
134,2021-05-15,40956,37495,3461
135,2021-05-16,27320,25661,1659
136,2021-05-17,31767,29608,2159
137,2021-05-18,21784,20374,1410
138,2021-05-19,27963,26827,1136
139,2021-05-20,6042,5472,570
140,2021-05-21,29957,27827,2130
141,2021-05-22,24835,22769,2066
142,2021-05-23,31126,28614,2512
143,2021-05-24,28761,27988,773
144,2021-05-25,36849,36625,224
145,2021-05-26,30209,30077,132
146,2021-05-27,28370,27651,719
147,2021-05-28,33860,30498,3362
148,2021-05-29,33271,30702,2569
149,2021-05-30,33643,31703,1940
150,2021-05-31,22087,20558,1529
151,2021-06-01,14671,14021,650
152,2021-06-02,27971,26270,1701
153,2021-06-03,47768,43546,4222
154,2021-06-04,25150,24926,224
155,2021-06-05,40368,39723,645
156,2021-06-06,10841,10173,668
157,2021-06-07,28795,26305,2490
158,2021-06-08,46225,45205,1020
159,2021-06-09,35348,34047,1301
160,2021-06-10,27209,24967,2242
161,2021-06-11,27902,26426,1476
162,2021-06-12,779,725,54
163,2021-06-13,39469,39465,4
164,2021-06-14,184,176,8
165,2021-06-15,32366,30712,1654
166,2021-06-16,23260,23094,166
167,2021-06-17,26988,25892,1096
168,2021-06-18,1531,1464,67
169,2021-06-19,22332,20923,1409
170,2021-06-20,8067,7479,588
171,2021-06-21,39313,36831,2482
172,2021-06-22,44799,41250,3549
173,2021-06-23,12813,12144,669
174,2021-06-24,47139,43717,3422
175,2021-06-25,24488,23403,1085
176,2021-06-26,26243,26220,23
177,2021-06-27,44645,40446,4199
178,2021-06-28,33797,31324,2473
179,2021-06-29,28939,27651,1288
180,2021-06-30,29746,27288,2458
181,2021-07-01,1405,1336,69
182,2021-07-02,5510,5384,126
183,2021-07-03,49813,49043,770
184,2021-07-04,26534,24697,1837
185,2021-07-05,46422,44482,1940
186,2021-07-06,15457,14273,1184
187,2021-07-07,7274,6589,685
188,2021-07-08,11349,11119,230
189,2021-07-09,8474,7853,621
190,2021-07-10,10627,10160,467
191,2021-07-11,29291,27334,1957
192,2021-07-12,37141,36145,996
193,2021-07-13,46918,44820,2098
194,2021-07-14,4545,4265,280
195,2021-07-15,35149,32007,3142
196,2021-07-16,20676,18685,1991
197,2021-07-17,38737,35920,2817
198,2021-07-18,435,405,30
199,2021-07-19,35377,33566,1811
200,2021-07-20,22633,21512,1121
201,2021-07-21,21102,19950,1152
202,2021-07-22,37516,34050,3466
203,2021-07-23,20759,20535,224
204,2021-07-24,25524,23788,1736
205,2021-07-25,22902,21354,1548
206,2021-07-26,15839,14482,1357
207,2021-07-27,13592,13120,472
208,2021-07-28,29986,27274,2712
209,2021-07-29,38432,36023,2409
210,2021-07-30,5975,5961,14
211,2021-07-31,16671,15825,846
212,2021-08-01,9894,9332,562
213,2021-08-02,10705,10100,605
214,2021-08-03,29085,26356,2729
215,2021-08-04,31771,29340,2431
216,2021-08-05,2125,2107,18
217,2021-08-06,41173,40456,717
218,2021-08-07,42795,41091,1704
219,2021-08-08,48750,46037,2713
220,2021-08-09,24277,22342,1935
221,2021-08-10,35184,34497,687
222,2021-08-11,4191,3934,257
223,2021-08-12,24468,23161,1307
224,2021-08-13,24665,23795,870
225,2021-08-14,507,489,18
226,2021-08-15,25216,24614,602
227,2021-08-16,1964,1959,5
228,2021-08-17,3835,3658,177
229,2021-08-18,8889,8481,408
230,2021-08-19,3328,3200,128
231,2021-08-20,21315,20183,1132
232,2021-08-21,20399,18904,1495
233,2021-08-22,36504,34313,2191
234,2021-08-23,19286,17376,1910
235,2021-08-24,38334,38252,82
236,2021-08-25,15362,14033,1329
237,2021-08-26,9820,9006,814
238,2021-08-27,17486,17087,399
239,2021-08-28,1304,1200,104
240,2021-08-29,23902,21637,2265
241,2021-08-30,2892,2759,133
242,2021-08-31,26403,24254,2149
243,2021-09-01,49681,49415,266
244,2021-09-02,21672,21079,593
245,2021-09-03,6396,5873,523
246,2021-09-04,23313,23299,14
247,2021-09-05,27720,25606,2114
248,2021-09-06,26476,25222,1254
249,2021-09-07,16172,14676,1496
250,2021-09-08,14035,12665,1370
251,2021-09-09,28650,27109,1541
252,2021-09-10,46113,46107,6
253,2021-09-11,21129,19111,2018
254,2021-09-12,37588,35987,1601
255,2021-09-13,31223,28729,2494
256,2021-09-14,31770,29520,2250
257,2021-09-15,49218,48460,758
258,2021-09-16,48582,46571,2011
259,2021-09-17,13290,12760,530
260,2021-09-18,5880,5331,549
261,2021-09-19,28406,28116,290
262,2021-09-20,2893,2743,150
263,2021-09-21,46199,42286,3913
264,2021-09-22,12083,11903,180
265,2021-09-23,12010,11201,809
266,2021-09-24,10617,10352,265
267,2021-09-25,27764,26040,1724
268,2021-09-26,19294,19126,168
269,2021-09-27,41154,38954,2200
270,2021-09-28,32395,29421,2974
271,2021-09-29,32870,32720,150
272,2021-09-30,31966,31234,732
273,2021-10-01,36046,34144,1902
274,2021-10-02,26338,24444,1894
275,2021-10-03,26268,26145,123
276,2021-10-04,47379,47142,237
277,2021-10-05,43284,42392,892
278,2021-10-06,19326,18526,800
279,2021-10-07,29659,29561,98
280,2021-10-08,45966,44117,1849
281,2021-10-09,35932,35823,109
282,2021-10-10,43900,42448,1452
283,2021-10-11,37664,37331,333
284,2021-10-12,14665,13913,752
285,2021-10-13,693,692,1
286,2021-10-14,20302,18583,1719
287,2021-10-15,35679,32797,2882
288,2021-10-16,4654,4324,330
289,2021-10-17,48003,47280,723
290,2021-10-18,28142,26123,2019
291,2021-10-19,31712,29532,2180
292,2021-10-20,38494,38426,68
293,2021-10-21,2821,2684,137
294,2021-10-22,19800,18257,1543
295,2021-10-23,12371,11615,756
296,2021-10-24,30196,28617,1579
297,2021-10-25,25521,23115,2406
298,2021-10-26,34496,33708,788
299,2021-10-27,10763,10417,346
300,2021-10-28,2078,2056,22
301,2021-10-29,21787,19641,2146
302,2021-10-30,36727,33360,3367
303,2021-10-31,36068,33878,2190
304,2021-11-01,25664,25550,114
305,2021-11-02,47347,45139,2208
306,2021-11-03,23654,21450,2204
307,2021-11-04,16004,15711,293
308,2021-11-05,7043,6561,482
309,2021-11-06,4822,4546,276
310,2021-11-07,39783,39132,651
311,2021-11-08,44793,40547,4246
312,2021-11-09,8846,8438,408
313,2021-11-10,23133,22660,473
314,2021-11-11,40670,37178,3492
315,2021-11-12,45398,43640,1758
316,2021-11-13,15253,14510,743
317,2021-11-14,2148,2105,43
318,2021-11-15,46869,46868,1
319,2021-11-16,16719,15998,721
320,2021-11-17,47143,42718,4425
321,2021-11-18,28065,27045,1020
322,2021-11-19,16993,16248,745
323,2021-11-20,37748,37221,527
324,2021-11-21,31139,30468,671
325,2021-11-22,4095,3955,140
326,2021-11-23,38892,37661,1231
327,2021-11-24,24354,23058,1296
328,2021-11-25,31611,28884,2727
329,2021-11-26,13006,12647,359
330,2021-11-27,38299,37623,676
331,2021-11-28,49727,49348,379
332,2021-11-29,1702,1612,90
333,2021-11-30,36083,34562,1521
334,2021-12-01,30554,28198,2356
335,2021-12-02,12964,12091,873
336,2021-12-03,11761,11315,446
337,2021-12-04,16025,14878,1147
338,2021-12-05,41866,40759,1107
339,2021-12-06,4846,4643,203
340,2021-12-07,12403,11461,942
341,2021-12-08,22709,20472,2237
342,2021-12-09,34459,31455,3004
343,2021-12-10,41446,39136,2310
344,2021-12-11,44796,40716,4080
345,2021-12-12,13397,12762,635
346,2021-12-13,19530,18088,1442
347,2021-12-14,31164,30770,394
348,2021-12-15,31702,30526,1176
349,2021-12-16,32715,32405,310
350,2021-12-17,44236,41540,2696
351,2021-12-18,12197,11510,687
352,2021-12-19,34253,34158,95
353,2021-12-20,10036,9087,949
354,2021-12-21,29537,26611,2926
355,2021-12-22,39832,38713,1119
356,2021-12-23,8927,8715,212
357,2021-12-24,27184,25719,1465
358,2021-12-25,12463,11445,1018
359,2021-12-26,35647,33089,2558
360,2021-12-27,31386,31129,257
361,2021-12-28,18255,18246,9
362,2021-12-29,6748,6714,34
363,2021-12-30,40272,39303,969
364,2021-12-31,39313,38364,949
365,2022-01-01,39595,38571,1024
366,2022-01-02,13624,13163,461
367,2022-01-03,6274,6100,174
368,2022-01-04,28169,25969,2200
369,2022-01-05,17503,16568,935
370,2022-01-06,17581,16825,756
371,2022-01-07,21346,19698,1648
372,2022-01-08,25809,24517,1292
373,2022-01-09,8744,8637,107
374,2022-01-10,45928,43565,2363
375,2022-01-11,19332,17412,1920
376,2022-01-12,22866,21901,965
377,2022-01-13,42781,41006,1775
378,2022-01-14,6442,6416,26
379,2022-01-15,6176,5578,598
380,2022-01-16,27150,24660,2490
381,2022-01-17,2310,2131,179
382,2022-01-18,24860,23391,1469
383,2022-01-19,19506,18734,772
384,2022-01-20,42399,41823,576
385,2022-01-21,35760,34783,977
386,2022-01-22,10934,10462,472
387,2022-01-23,18459,17239,1220
388,2022-01-24,18159,16963,1196
389,2022-01-25,12291,12034,257
390,2022-01-26,38012,37752,260
391,2022-01-27,1479,1387,92
392,2022-01-28,2465,2303,162
393,2022-01-29,48293,45134,3159
394,2022-01-30,29255,27246,2009
395,2022-01-31,29426,26621,2805
396,2022-02-01,20432,19976,456
397,2022-02-02,3413,3092,321
398,2022-02-03,42128,39637,2491
399,2022-02-04,8536,8025,511
400,2022-02-05,23086,22763,323
401,2022-02-06,46645,43734,2911
402,2022-02-07,47490,45114,2376
403,2022-02-08,27498,26501,997
404,2022-02-09,31342,30832,510
405,2022-02-10,7688,7111,577
406,2022-02-11,11619,10868,751
407,2022-02-12,27619,25821,1798
408,2022-02-13,22995,21941,1054
409,2022-02-14,309,300,9
410,2022-02-15,38260,36924,1336
411,2022-02-16,10209,9777,432
412,2022-02-17,22205,20202,2003
413,2022-02-18,19750,18357,1393
414,2022-02-19,24722,24307,415
415,2022-02-20,21449,20482,967
416,2022-02-21,37429,36462,967
417,2022-02-22,33382,30596,2786
418,2022-02-23,38744,35828,2916
419,2022-02-24,26601,25950,651
420,2022-02-25,27328,25473,1855
421,2022-02-26,8748,8576,172
422,2022-02-27,12783,12695,88
423,2022-02-28,29069,28841,228
424,2022-03-01,29175,28432,743
425,2022-03-02,6342,5732,610
426,2022-03-03,47712,45315,2397
427,2022-03-04,20153,18491,1662
428,2022-03-05,16223,15720,503
429,2022-03-06,47173,46061,1112
430,2022-03-07,2653,2522,131
431,2022-03-08,14510,14278,232
432,2022-03-09,43141,39519,3622
433,2022-03-10,49956,45067,4889
434,2022-03-11,35107,32049,3058
435,2022-03-12,30383,27456,2927
436,2022-03-13,28317,27544,773
437,2022-03-14,28109,26922,1187
438,2022-03-15,9108,9004,104
439,2022-03-16,37873,35734,2139
440,2022-03-17,19229,19167,62
441,2022-03-18,28778,27300,1478
442,2022-03-19,37255,33841,3414
443,2022-03-20,45500,43922,1578
444,2022-03-21,47427,46042,1385
445,2022-03-22,31190,28500,2690
446,2022-03-23,18257,16478,1779
447,2022-03-24,31075,30789,286
448,2022-03-25,27795,26416,1379
449,2022-03-26,20682,19561,1121
450,2022-03-27,44867,41435,3432
451,2022-03-28,15599,14483,1116
452,2022-03-29,17657,17046,611
453,2022-03-30,10394,10196,198
454,2022-03-31,33025,30684,2341
455,2022-04-01,15336,14887,449
456,2022-04-02,38423,38269,154
457,2022-04-03,15525,14426,1099
458,2022-04-04,24875,24740,135
459,2022-04-05,26531,24688,1843
460,2022-04-06,1216,1152,64
461,2022-04-07,6969,6692,277
462,2022-04-08,42968,41731,1237
463,2022-04-09,35370,34477,893
464,2022-04-10,23595,22190,1405
465,2022-04-11,41830,37721,4109
466,2022-04-12,47558,45910,1648
467,2022-04-13,40796,38784,2012
468,2022-04-14,38781,38075,706
469,2022-04-15,39268,38966,302
470,2022-04-16,23006,21958,1048
471,2022-04-17,41844,41035,809
472,2022-04-18,30043,29701,342
473,2022-04-19,42521,38810,3711
474,2022-04-20,18553,17728,825
475,2022-04-21,32173,32064,109
476,2022-04-22,31307,29010,2297
477,2022-04-23,30569,27944,2625
478,2022-04-24,27796,25471,2325
479,2022-04-25,5364,4915,449
480,2022-04-26,43087,40135,2952
481,2022-04-27,37725,35463,2262
482,2022-04-28,48947,48090,857
483,2022-04-29,13773,12529,1244
484,2022-04-30,11639,11074,565
485,2022-05-01,41356,38668,2688
486,2022-05-02,33753,33440,313
487,2022-05-03,46427,43368,3059
488,2022-05-04,27565,26442,1123
489,2022-05-05,12077,11751,326
490,2022-05-06,47952,43389,4563
491,2022-05-07,46467,42163,4304
492,2022-05-08,15974,15609,365
493,2022-05-09,29979,27238,2741
494,2022-05-10,14002,12945,1057
495,2022-05-11,45045,43998,1047
496,2022-05-12,36946,36332,614
497,2022-05-13,31131,28771,2360
498,2022-05-14,32454,31621,833
499,2022-05-15,5638,5630,8
500,2022-05-16,35264,34808,456
501,2022-05-17,11421,10582,839
502,2022-05-18,12369,11391,978
503,2022-05-19,8490,8050,440
504,2022-05-20,5823,5260,563
505,2022-05-21,42379,40632,1747
506,2022-05-22,29532,27055,2477
507,2022-05-23,22552,20961,1591
508,2022-05-24,30738,30042,696
509,2022-05-25,37450,34746,2704
510,2022-05-26,33923,31589,2334
511,2022-05-27,37892,37829,63
512,2022-05-28,15697,15046,651
513,2022-05-29,33181,30331,2850
514,2022-05-30,2433,2331,102
515,2022-05-31,10005,9799,206
516,2022-06-01,2196,2106,90
517,2022-06-02,9779,9640,139
518,2022-06-03,42392,39648,2744
519,2022-06-04,20842,18898,1944
520,2022-06-05,3104,2850,254
521,2022-06-06,25681,24041,1640
522,2022-06-07,38242,35121,3121
523,2022-06-08,41452,37984,3468
524,2022-06-09,46945,44819,2126
525,2022-06-10,24159,23331,828
526,2022-06-11,5372,5222,150
527,2022-06-12,25650,23986,1664
528,2022-06-13,26535,25902,633
529,2022-06-14,5997,5631,366
530,2022-06-15,15752,14424,1328
531,2022-06-16,10026,9355,671
532,2022-06-17,21640,21520,120
533,2022-06-18,17712,16681,1031
534,2022-06-19,11868,11794,74
535,2022-06-20,37313,35522,1791
536,2022-06-21,40189,36747,3442
537,2022-06-22,8557,8394,163
538,2022-06-23,19213,18183,1030
539,2022-06-24,21676,19602,2074
540,2022-06-25,3213,2978,235
541,2022-06-26,15233,14585,648
542,2022-06-27,46993,42345,4648
543,2022-06-28,25384,23904,1480
544,2022-06-29,3101,3014,87
545,2022-06-30,8172,7516,656
546,2022-07-01,10470,10430,40
547,2022-07-02,10494,9978,516
548,2022-07-03,11234,10867,367
549,2022-07-04,30118,28768,1350
550,2022-07-05,38073,35289,2784
551,2022-07-06,5925,5741,184
552,2022-07-07,9404,8990,414
553,2022-07-08,21365,19464,1901
554,2022-07-09,36588,34722,1866
555,2022-07-10,3439,3294,145
556,2022-07-11,6512,6016,496
557,2022-07-12,10116,10079,37
558,2022-07-13,26803,24267,2536
559,2022-07-14,4152,3954,198
560,2022-07-15,35568,35227,341
561,2022-07-16,22676,20666,2010
562,2022-07-17,1878,1836,42
563,2022-07-18,29077,28379,698
564,2022-07-19,24578,22628,1950
565,2022-07-20,8179,7577,602
566,2022-07-21,41437,38291,3146
567,2022-07-22,15584,15321,263
568,2022-07-23,17102,16182,920
569,2022-07-24,34054,33014,1040
570,2022-07-25,7133,6750,383
571,2022-07-26,11888,11084,804
572,2022-07-27,9536,9323,213
573,2022-07-28,4187,3960,227
574,2022-07-29,27571,27440,131
575,2022-07-30,48635,47918,717
576,2022-07-31,11362,10912,450
577,2022-08-01,16923,15820,1103
578,2022-08-02,31663,30350,1313
579,2022-08-03,31909,31493,416
580,2022-08-04,32955,30195,2760
581,2022-08-05,26768,25632,1136
582,2022-08-06,26280,25097,1183
583,2022-08-07,30048,28397,1651
584,2022-08-08,28446,27887,559
585,2022-08-09,10975,10676,299
586,2022-08-10,47023,44662,2361
587,2022-08-11,11189,10696,493
588,2022-08-12,21322,19418,1904
589,2022-08-13,14024,13683,341
590,2022-08-14,13931,13270,661
591,2022-08-15,43786,41935,1851
592,2022-08-16,7913,7808,105
593,2022-08-17,49370,47516,1854
594,2022-08-18,24177,22604,1573
595,2022-08-19,46406,46340,66
596,2022-08-20,10127,9305,822
597,2022-08-21,46636,45437,1199
598,2022-08-22,48117,47371,746
599,2022-08-23,28999,27163,1836
600,2022-08-24,49797,47974,1823
601,2022-08-25,4332,4257,75
602,2022-08-26,39082,36264,2818
603,2022-08-27,39580,36798,2782
604,2022-08-28,16342,15123,1219
605,2022-08-29,30870,28557,2313
606,2022-08-30,21784,20241,1543
607,2022-08-31,4935,4639,296
608,2022-09-01,4732,4283,449
609,2022-09-02,13028,12169,859
610,2022-09-03,9548,9038,510
611,2022-09-04,14681,14133,548
612,2022-09-05,14465,13641,824
613,2022-09-06,32317,32060,257
614,2022-09-07,9868,9432,436
615,2022-09-08,29094,27649,1445
616,2022-09-09,33225,32983,242
617,2022-09-10,35081,33143,1938
618,2022-09-11,11839,11416,423
619,2022-09-12,8531,8157,374
620,2022-09-13,6801,6494,307
621,2022-09-14,12089,11270,819
622,2022-09-15,47681,46464,1217
623,2022-09-16,10386,10174,212
624,2022-09-17,12354,11368,986
625,2022-09-18,24008,22132,1876
626,2022-09-19,46491,41920,4571
627,2022-09-20,28567,26179,2388
628,2022-09-21,19362,17612,1750
629,2022-09-22,21438,19376,2062
630,2022-09-23,44081,42539,1542
631,2022-09-24,33698,32122,1576
632,2022-09-25,47417,45639,1778
633,2022-09-26,7015,6423,592
634,2022-09-27,5963,5528,435
635,2022-09-28,17016,15720,1296
636,2022-09-29,39137,37471,1666
637,2022-09-30,3704,3534,170
638,2022-10-01,28632,26674,1958
639,2022-10-02,34403,34049,354
640,2022-10-03,27656,27607,49
641,2022-10-04,19886,19783,103
642,2022-10-05,6808,6422,386
643,2022-10-06,45746,42441,3305
644,2022-10-07,3737,3552,185
645,2022-10-08,34714,33931,783
646,2022-10-09,15976,15066,910
647,2022-10-10,26697,24113,2584
648,2022-10-11,16672,15311,1361
649,2022-10-12,29720,28596,1124
650,2022-10-13,28863,27366,1497
651,2022-10-14,48606,47564,1042
652,2022-10-15,5629,5539,90
653,2022-10-16,26197,25733,464
654,2022-10-17,33069,32581,488
655,2022-10-18,37487,36848,639
656,2022-10-19,2431,2378,53
657,2022-10-20,16946,16904,42
658,2022-10-21,43020,40473,2547
659,2022-10-22,31085,29815,1270
660,2022-10-23,4775,4472,303
661,2022-10-24,13327,12534,793
662,2022-10-25,34207,33372,835
663,2022-10-26,3352,3326,26
664,2022-10-27,43716,40925,2791
665,2022-10-28,41452,37816,3636
666,2022-10-29,36736,34404,2332
667,2022-10-30,4640,4280,360
668,2022-10-31,28076,25960,2116
669,2022-11-01,30164,28289,1875
670,2022-11-02,21553,19574,1979
671,2022-11-03,32239,31296,943
672,2022-11-04,15566,14371,1195
673,2022-11-05,16081,15036,1045
674,2022-11-06,42550,39551,2999
675,2022-11-07,49635,44745,4890
676,2022-11-08,18374,17591,783
677,2022-11-09,34552,32220,2332
678,2022-11-10,27451,26303,1148
679,2022-11-11,30893,27870,3023
680,2022-11-12,10220,9745,475
681,2022-11-13,14843,14654,189
682,2022-11-14,26360,24582,1778
683,2022-11-15,35686,35283,403
684,2022-11-16,30518,30020,498
685,2022-11-17,43807,40340,3467
686,2022-11-18,8344,7816,528
687,2022-11-19,26518,25303,1215
688,2022-11-20,10085,9769,316
689,2022-11-21,7212,6638,574
690,2022-11-22,14976,14037,939
691,2022-11-23,27332,25646,1686
692,2022-11-24,8632,8479,153
693,2022-11-25,30488,28728,1760
694,2022-11-26,38112,37235,877
695,2022-11-27,32002,29748,2254
696,2022-11-28,16386,16328,58
697,2022-11-29,15128,14578,550
698,2022-11-30,12880,12450,430
699,2022-12-01,26513,25084,1429
700,2022-12-02,27431,25874,1557
701,2022-12-03,24873,24712,161
702,2022-12-04,23473,22670,803
703,2022-12-05,39603,39212,391
704,2022-12-06,4396,3997,399
705,2022-12-07,49320,47558,1762
706,2022-12-08,15591,15233,358
707,2022-12-09,5760,5220,540
708,2022-12-10,39143,35523,3620
709,2022-12-11,8824,8695,129
710,2022-12-12,47962,43785,4177
711,2022-12-13,18267,17154,1113
712,2022-12-14,33432,30758,2674
713,2022-12-15,20456,20227,229
714,2022-12-16,7580,7087,493
715,2022-12-17,2958,2762,196
716,2022-12-18,31284,30257,1027
717,2022-12-19,35164,32921,2243
718,2022-12-20,19671,18206,1465
719,2022-12-21,28842,28312,530
720,2022-12-22,49508,46193,3315
721,2022-12-23,1281,1182,99
722,2022-12-24,26921,26542,379
723,2022-12-25,36632,35582,1050
724,2022-12-26,1535,1388,147
725,2022-12-27,12058,10947,1111
726,2022-12-28,36002,35689,313
727,2022-12-29,10273,9870,403
728,2022-12-30,12320,11295,1025
729,2022-12-31,22027,20949,1078
730,2023-01-01,34229,34029,200
